Time (sec.), Cycles, "value_state"
6.772165270, 677216527, 0.647420704
6.782165530, 678216553, 0.648549438
6.792166930, 679216693, 0.649669588
6.802167640, 680216764, 0.650781214
6.812165430, 681216543, 0.651884377
6.822167080, 682216708, 0.652979076
6.832168000, 683216800, 0.654065371
6.842165300, 684216530, 0.655143261
6.852167710, 685216771, 0.656212807
6.862167670, 686216767, 0.657274067
6.872168050, 687216805, 0.658327043
6.882167620, 688216762, 0.659371793
6.892166210, 689216621, 0.660408378
6.902165210, 690216521, 0.661436796
6.912165780, 691216578, 0.662457108
6.922167890, 692216789, 0.663469374
6.932166550, 693216655, 0.664473593
6.942162580, 694216258, 0.665469825
6.952161500, 695216150, 0.666458070
6.962160730, 696216073, 0.667438388
6.972161380, 697216138, 0.668410838
6.982161730, 698216173, 0.669375420
6.992161470, 699216147, 0.670332193
7.002162790, 700216279, 0.671281159
7.012161660, 701216166, 0.672222435
7.022163390, 702216339, 0.673155963
7.032161020, 703216102, 0.674081862
7.042161770, 704216177, 0.675000131
7.052160740, 705216074, 0.675910830
7.062161650, 706216165, 0.676813960
7.072162320, 707216232, 0.677709579
7.082172960, 708217296, 0.678597689
7.092171060, 709217106, 0.679478347
7.102172550, 710217255, 0.680351615
7.112170790, 711217079, 0.681217551
7.122171970, 712217197, 0.682076156
7.132171860, 713217186, 0.682927430
7.142162120, 714216212, 0.683771491
7.152162490, 715216249, 0.684608340
7.162161900, 716216190, 0.685437977
7.172160890, 717216089, 0.686260462
7.182161180, 718216118, 0.687075853
7.192162000, 719216200, 0.687884212
7.202162800, 720216280, 0.688685536
7.212160210, 721216021, 0.689479828
7.222162010, 722216201, 0.690267205
7.232162460, 723216246, 0.691047609
7.242161770, 724216177, 0.691821158
7.252160660, 725216066, 0.692587852
7.262161860, 726216186, 0.693347752
7.272162010, 727216201, 0.694100916
7.282166330, 728216633, 0.694847345
7.292167200, 729216720, 0.695587039
7.302164560, 730216456, 0.696320117
7.312167670, 731216767, 0.697046578
7.322166630, 732216663, 0.697766423
7.332167490, 733216749, 0.698479772
7.342166780, 734216678, 0.699186563
7.352167790, 735216779, 0.699886918
7.362166410, 736216641, 0.700580835
7.372167050, 737216705, 0.701268375
7.382166640, 738216664, 0.701949537
7.392166850, 739216685, 0.702624440
7.402166550, 740216655, 0.703293025
7.412167540, 741216754, 0.703955412
